"Pathway Protein Groups Group ID"	"Checked"	"Tags"	"Pathway Accession"	"Pathway Level"	"Pathway Description"	"Pathway Source"	"# Master Proteins"	"# Proteins"	"# Reference Proteins"	"Coverage [%]"
"185"	"False"	""	"R-HSA-9660821"	"LeafAnnotation"	"ADORA2B mediated anti-inflammatory cytokines production"	"ReactomePathway"	"1"	"1"	"37"	"3"
"186"	"False"	""	"R-HSA-9856530"	"IntermediateAnnotation"	"High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells"	"ReactomePathway"	"1"	"1"	"60"	"2"
"187"	"False"	""	"R-HSA-432040"	"LeafAnnotation"	"Vasopressin regulates renal water homeostasis via Aquaporins"	"ReactomePathway"	"1"	"1"	"38"	"3"
"188"	"False"	""	"R-HSA-163359"	"IntermediateAnnotation"	"Glucagon signaling in metabolic regulation"	"ReactomePathway"	"1"	"1"	"26"	"4"
"189"	"False"	""	"R-HSA-163615"	"LeafAnnotation"	"PKA activation"	"ReactomePathway"	"1"	"1"	"16"	"6"
"190"	"False"	""	"R-HSA-164378"	"LeafAnnotation"	"PKA activation in glucagon signalling"	"ReactomePathway"	"1"	"1"	"17"	"6"
"191"	"False"	""	"R-HSA-170660"	"LeafAnnotation"	"Adenylate cyclase activating pathway"	"ReactomePathway"	"1"	"1"	"10"	"10"
"192"	"False"	""	"R-HSA-5610787"	"IntermediateAnnotation"	"Hedgehog 'off' state"	"ReactomePathway"	"1"	"1"	"40"	"2"
"193"	"False"	""	"R-HSA-442720"	"LeafAnnotation"	"CREB1 phosphorylation through the activation of Adenylate Cyclase"	"ReactomePathway"	"1"	"1"	"8"	"12"
"194"	"False"	""	"R-HSA-977225"	"LeafAnnotation"	"Amyloid fiber formation"	"ReactomePathway"	"7"	"7"	"40"	"18"
"195"	"False"	""	"WP4534"	"LeafAnnotation"	"Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms"	"WikiPathway"	"1"	"1"	"27"	"4"
"196"	"False"	""	"WP4537"	"LeafAnnotation"	"Hippo-YAP signaling"	"WikiPathway"	"1"	"1"	"7"	"14"
"197"	"False"	""	"WP4542"	"LeafAnnotation"	"Leukocyte-intrinsic Hippo pathway functions"	"WikiPathway"	"1"	"1"	"14"	"7"
"198"	"False"	""	"WP5353"	"LeafAnnotation"	"Macrophage-stimulating protein (MSP) signaling"	"WikiPathway"	"2"	"2"	"50"	"4"
"199"	"False"	""	"R-HSA-8852405"	"LeafAnnotation"	"Signaling by MST1"	"ReactomePathway"	"1"	"1"	"5"	"20"
"200"	"False"	""	"WP4657"	"LeafAnnotation"	"22q11.2 copy number variation syndrome"	"WikiPathway"	"3"	"3"	"42"	"7"
"201"	"False"	""	"WP3945"	"LeafAnnotation"	"TYROBP causal network in microglia"	"WikiPathway"	"1"	"1"	"34"	"3"
"202"	"False"	""	"WP4950"	"LeafAnnotation"	"16p11.2 distal deletion syndrome"	"WikiPathway"	"1"	"1"	"19"	"5"
"203"	"False"	""	"WP5283"	"LeafAnnotation"	"Chronic hyperglycemia impairment of neuron function"	"WikiPathway"	"1"	"1"	"26"	"4"
"204"	"False"	""	"R-HSA-9660826"	"LeafAnnotation"	"Purinergic signaling in leishmaniasis infection"	"ReactomePathway"	"1"	"1"	"17"	"6"
"205"	"False"	""	"R-HSA-173736"	"LeafAnnotation"	"Alternative complement activation"	"ReactomePathway"	"3"	"3"	"4"	"75"
"206"	"False"	""	"R-HSA-2022854"	"LeafAnnotation"	"Keratan sulfate biosynthesis"	"ReactomePathway"	"1"	"1"	"7"	"14"
"207"	"False"	""	"R-HSA-2022857"	"LeafAnnotation"	"Keratan sulfate degradation"	"ReactomePathway"	"1"	"1"	"3"	"33"
"208"	"False"	""	"R-HSA-3656225"	"LeafAnnotation"	"Defective CHST6 causes MCDC1"	"ReactomePathway"	"1"	"1"	"3"	"33"
"209"	"False"	""	"R-HSA-3656243"	"LeafAnnotation"	"Defective ST3GAL3 causes MCT12 and EIEE15"	"ReactomePathway"	"1"	"1"	"3"	"33"
"210"	"False"	""	"R-HSA-3656244"	"LeafAnnotation"	"Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)"	"ReactomePathway"	"1"	"1"	"4"	"25"
"211"	"False"	""	"WP4136"	"LeafAnnotation"	"Fibrin complement receptor 3 signaling"	"WikiPathway"	"5"	"5"	"33"	"15"
"212"	"False"	""	"WP4927"	"LeafAnnotation"	"COVID-19, thrombosis and anticoagulation"	"WikiPathway"	"3"	"3"	"3"	"100"
"213"	"False"	""	"R-HSA-1236974"	"LeafAnnotation"	"ER-Phagosome pathway"	"ReactomePathway"	"4"	"4"	"38"	"11"
"214"	"False"	""	"R-HSA-6802952"	"LeafAnnotation"	"Signaling by BRAF and RAF1 fusions"	"ReactomePathway"	"5"	"5"	"37"	"14"
"215"	"False"	""	"R-HSA-166058"	"IntermediateAnnotation"	"MyD88:MAL(TIRAP) cascade initiated on plasma membrane"	"ReactomePathway"	"4"	"4"	"26"	"15"
"216"	"False"	""	"R-HSA-5602498"	"LeafAnnotation"	"MyD88 deficiency (TLR2/4)"	"ReactomePathway"	"4"	"4"	"17"	"24"
"217"	"False"	""	"R-HSA-5603041"	"LeafAnnotation"	"IRAK4 deficiency (TLR2/4)"	"ReactomePathway"	"4"	"4"	"18"	"22"
"218"	"False"	""	"R-HSA-5686938"	"LeafAnnotation"	"Regulation of TLR by endogenous ligand"	"ReactomePathway"	"5"	"5"	"18"	"28"
"219"	"False"	""	"R-HSA-354192"	"IntermediateAnnotation"	"Integrin signaling"	"ReactomePathway"	"5"	"5"	"22"	"23"
"220"	"False"	""	"R-HSA-6802946"	"LeafAnnotation"	"Signaling by moderate kinase activity BRAF mutants"	"ReactomePathway"	"5"	"5"	"35"	"14"
"221"	"False"	""	"R-HSA-6802955"	"LeafAnnotation"	"Paradoxical activation of RAF signaling by kinase inactive BRAF"	"ReactomePathway"	"5"	"5"	"35"	"14"
"222"	"False"	""	"R-HSA-9649948"	"LeafAnnotation"	"Signaling downstream of RAS mutants"	"ReactomePathway"	"5"	"5"	"35"	"14"
"223"	"False"	""	"R-HSA-9656223"	"LeafAnnotation"	"Signaling by RAF1 mutants"	"ReactomePathway"	"5"	"5"	"33"	"15"
"224"	"False"	""	"R-HSA-5674135"	"LeafAnnotation"	"MAP2K and MAPK activation"	"ReactomePathway"	"5"	"5"	"35"	"14"
"225"	"False"	""	"R-HSA-6802948"	"LeafAnnotation"	"Signaling by high-kinase activity BRAF mutants"	"ReactomePathway"	"5"	"5"	"32"	"16"
"226"	"False"	""	"R-HSA-354194"	"LeafAnnotation"	"GRB2:SOS provides linkage to MAPK signaling for Integrins"	"ReactomePathway"	"5"	"5"	"14"	"36"
"227"	"False"	""	"R-HSA-372708"	"LeafAnnotation"	"p130Cas linkage to MAPK signaling for integrins"	"ReactomePathway"	"5"	"5"	"14"	"36"
"228"	"False"	""	"R-HSA-9615710"	"LeafAnnotation"	"Late endosomal microautophagy"	"ReactomePathway"	"1"	"1"	"25"	"4"
"229"	"False"	""	"R-HSA-983231"	"IntermediateAnnotation"	"Factors involved in megakaryocyte development and platelet production"	"ReactomePathway"	"1"	"1"	"30"	"3"
"230"	"False"	""	"WP5318"	"LeafAnnotation"	"Female steroid hormones in cardiomyocyte energy metabolism"	"WikiPathway"	"1"	"1"	"6"	"17"
"231"	"False"	""	"WP5323"	"LeafAnnotation"	"Fatty acid and lipoprotein transport in hepatocytes"	"WikiPathway"	"3"	"3"	"14"	"21"
"232"	"False"	""	"WP5333"	"LeafAnnotation"	"Enterocyte cholesterol metabolism"	"WikiPathway"	"3"	"3"	"18"	"17"
"233"	"False"	""	"R-HSA-8866423"	"LeafAnnotation"	"VLDL assembly"	"ReactomePathway"	"2"	"2"	"5"	"40"
"234"	"False"	""	"R-HSA-8964046"	"LeafAnnotation"	"VLDL clearance"	"ReactomePathway"	"2"	"2"	"6"	"33"
"235"	"False"	""	"R-HSA-8856828"	"IntermediateAnnotation"	"Clathrin-mediated endocytosis"	"ReactomePathway"	"2"	"2"	"108"	"2"
"236"	"False"	""	"R-HSA-8856825"	"LeafAnnotation"	"Cargo recognition for clathrin-mediated endocytosis"	"ReactomePathway"	"2"	"2"	"83"	"2"
"237"	"False"	""	"R-HSA-3000471"	"LeafAnnotation"	"Scavenging by Class B Receptors"	"ReactomePathway"	"2"	"2"	"4"	"50"
"238"	"False"	""	"R-HSA-8964038"	"LeafAnnotation"	"LDL clearance"	"ReactomePathway"	"1"	"1"	"15"	"7"
"239"	"False"	""	"R-HSA-8964026"	"LeafAnnotation"	"Chylomicron clearance"	"ReactomePathway"	"2"	"2"	"5"	"40"
"240"	"False"	""	"R-HSA-3000484"	"LeafAnnotation"	"Scavenging by Class F Receptors"	"ReactomePathway"	"1"	"1"	"5"	"20"
"241"	"False"	""	"R-HSA-3000497"	"LeafAnnotation"	"Scavenging by Class H Receptors"	"ReactomePathway"	"1"	"1"	"4"	"25"
"242"	"False"	""	"R-HSA-432142"	"LeafAnnotation"	"Platelet sensitization by LDL"	"ReactomePathway"	"1"	"1"	"7"	"14"
"243"	"False"	""	"R-HSA-8964041"	"LeafAnnotation"	"LDL remodeling"	"ReactomePathway"	"2"	"2"	"6"	"33"
"244"	"False"	""	"R-HSA-804914"	"LeafAnnotation"	"Transport of fatty acids"	"ReactomePathway"	"1"	"1"	"4"	"25"
"245"	"False"	""	"R-HSA-525793"	"LeafAnnotation"	"Myogenesis"	"ReactomePathway"	"1"	"1"	"9"	"11"
"246"	"False"	""	"WP1982"	"LeafAnnotation"	"Sterol regulatory element-binding proteins (SREBP) signaling"	"WikiPathway"	"1"	"1"	"20"	"5"
"247"	"False"	""	"WP716"	"LeafAnnotation"	"Vitamin A and carotenoid metabolism"	"WikiPathway"	"1"	"1"	"13"	"8"
"248"	"False"	""	"R-HSA-2453902"	"IntermediateAnnotation"	"The canonical retinoid cycle in rods (twilight vision)"	"ReactomePathway"	"2"	"2"	"8"	"25"
"249"	"False"	""	"R-HSA-6809583"	"LeafAnnotation"	"Retinoid metabolism disease events"	"ReactomePathway"	"1"	"1"	"1"	"100"
"250"	"False"	""	"R-HSA-9918449"	"IntermediateAnnotation"	"Defective visual phototransduction due to STRA6 loss of function"	"ReactomePathway"	"2"	"2"	"3"	"67"
"251"	"False"	""	"WP2884"	"LeafAnnotation"	"NRF2 pathway"	"WikiPathway"	"1"	"1"	"89"	"1"
"252"	"False"	""	"WP3624"	"LeafAnnotation"	"Lung fibrosis"	"WikiPathway"	"1"	"1"	"28"	"4"
"253"	"False"	""	"WP3632"	"LeafAnnotation"	"Lung fibrosis"	"WikiPathway"	"1"	"1"	"1"	"100"
"254"	"False"	""	"R-HSA-204005"	"LeafAnnotation"	"COPII-mediated vesicle transport"	"ReactomePathway"	"2"	"2"	"25"	"8"
"255"	"False"	""	"R-HSA-5694530"	"LeafAnnotation"	"Cargo concentration in the ER"	"ReactomePathway"	"2"	"2"	"15"	"13"
"256"	"False"	""	"R-HSA-196780"	"LeafAnnotation"	"Biotin transport and metabolism"	"ReactomePathway"	"1"	"1"	"3"	"33"
"257"	"False"	""	"R-HSA-3371598"	"LeafAnnotation"	"Defective BTD causes biotidinase deficiency"	"ReactomePathway"	"1"	"1"	"1"	"100"
"258"	"False"	""	"R-HSA-5223345"	"LeafAnnotation"	"Miscellaneous transport and binding events"	"ReactomePathway"	"1"	"1"	"19"	"5"
"259"	"False"	""	"WP185"	"LeafAnnotation"	"Integrin-mediated cell adhesion"	"WikiPathway"	"2"	"2"	"81"	"2"
"260"	"False"	""	"WP28"	"LeafAnnotation"	"Selenium metabolism and selenoproteins"	"WikiPathway"	"1"	"1"	"8"	"12"
"261"	"False"	""	"WP3931"	"LeafAnnotation"	"Embryonic stem cell pluripotency pathways"	"WikiPathway"	"1"	"1"	"68"	"1"
"262"	"False"	""	"WP4217"	"LeafAnnotation"	"Ebola virus infection in host"	"WikiPathway"	"1"	"1"	"100"	"1"
"263"	"False"	""	"WP51"	"LeafAnnotation"	"Regulation of actin cytoskeleton"	"WikiPathway"	"4"	"4"	"99"	"4"
"264"	"False"	""	"R-HSA-9662361"	"IntermediateAnnotation"	"Sensory processing of sound by outer hair cells of the cochlea"	"ReactomePathway"	"1"	"1"	"32"	"3"
"265"	"False"	""	"R-HSA-264870"	"LeafAnnotation"	"Caspase-mediated cleavage of cytoskeletal proteins"	"ReactomePathway"	"1"	"1"	"9"	"11"
"266"	"False"	""	"WP4758"	"LeafAnnotation"	"Nephrotic syndrome"	"WikiPathway"	"1"	"1"	"22"	"5"
"267"	"False"	""	"R-HSA-1474228"	"IntermediateAnnotation"	"Degradation of the extracellular matrix"	"ReactomePathway"	"3"	"3"	"37"	"8"
"268"	"False"	""	"R-HSA-8963896"	"LeafAnnotation"	"HDL assembly"	"ReactomePathway"	"2"	"2"	"6"	"33"
"269"	"False"	""	"WP24"	"LeafAnnotation"	"Peptide GPCRs"	"WikiPathway"	"1"	"1"	"71"	"1"
"270"	"False"	""	"WP455"	"LeafAnnotation"	"GPCRs, class A rhodopsin-like"	"WikiPathway"	"1"	"1"	"254"	"0"
"271"	"False"	""	"WP5473"	"LeafAnnotation"	"Cytokine-cytokine receptor interaction"	"WikiPathway"	"1"	"1"	"153"	"1"
"272"	"False"	""	"R-HSA-9833110"	"IntermediateAnnotation"	"RSV-host interactions"	"ReactomePathway"	"2"	"2"	"24"	"8"
"273"	"False"	""	"R-HSA-9820960"	"IntermediateAnnotation"	"Respiratory syncytial virus (RSV) attachment and entry"	"ReactomePathway"	"2"	"2"	"22"	"9"
"274"	"False"	""	"R-HSA-380108"	"LeafAnnotation"	"Chemokine receptors bind chemokines"	"ReactomePathway"	"1"	"1"	"29"	"3"
"275"	"False"	""	"WP2007"	"LeafAnnotation"	"Iron metabolism in placenta"	"WikiPathway"	"1"	"1"	"9"	"11"
"276"	"False"	""	"WP4754"	"LeafAnnotation"	"IL18 signaling"	"WikiPathway"	"3"	"3"	"123"	"2"
"277"	"False"	""	"WP4906"	"LeafAnnotation"	"3q29 copy number variation syndrome"	"WikiPathway"	"1"	"1"	"23"	"4"
"278"	"False"	""	"WP706"	"LeafAnnotation"	"Sudden infant death syndrome (SIDS) susceptibility pathways"	"WikiPathway"	"2"	"3"	"73"	"4"
"279"	"False"	""	"R-HSA-917977"	"LeafAnnotation"	"Transferrin endocytosis and recycling"	"ReactomePathway"	"1"	"1"	"31"	"3"
"280"	"False"	""	"WP4969"	"LeafAnnotation"	"RAS and bradykinin pathways in COVID-19"	"WikiPathway"	"5"	"5"	"21"	"24"
"281"	"False"	""	"WP5089"	"LeafAnnotation"	"Kinin-Kallikrein pathway"	"WikiPathway"	"2"	"2"	"4"	"50"
"282"	"False"	""	"R-HSA-9657688"	"LeafAnnotation"	"Defective factor XII causes hereditary angioedema"	"ReactomePathway"	"3"	"3"	"3"	"100"
"283"	"False"	""	"R-HSA-1592389"	"LeafAnnotation"	"Activation of Matrix Metalloproteinases"	"ReactomePathway"	"2"	"2"	"14"	"14"
"284"	"False"	""	"R-HSA-9657689"	"LeafAnnotation"	"Defective SERPING1 causes hereditary angioedema"	"ReactomePathway"	"3"	"3"	"3"	"100"
"285"	"False"	""	"R-HSA-186797"	"IntermediateAnnotation"	"Signaling by PDGF"	"ReactomePathway"	"1"	"1"	"9"	"11"
"286"	"False"	""	"R-HSA-194002"	"LeafAnnotation"	"Glucocorticoid biosynthesis"	"ReactomePathway"	"1"	"1"	"2"	"50"
"287"	"False"	""	"WP2865"	"LeafAnnotation"	"IL1 and megakaryocytes in obesity"	"WikiPathway"	"1"	"1"	"19"	"5"
"288"	"False"	""	"WP5186"	"LeafAnnotation"	"Vitamin K metabolism and activation of dependent proteins"	"WikiPathway"	"1"	"1"	"1"	"100"
"289"	"False"	""	"R-HSA-416476"	"IntermediateAnnotation"	"G alpha (q) signalling events"	"ReactomePathway"	"3"	"3"	"135"	"2"
"290"	"False"	""	"R-HSA-456926"	"LeafAnnotation"	"Thrombin signalling through proteinase activated receptors (PARs)"	"ReactomePathway"	"1"	"1"	"27"	"4"
"291"	"False"	""	"R-HSA-9672391"	"LeafAnnotation"	"Defective F8 cleavage by thrombin"	"ReactomePathway"	"2"	"2"	"3"	"67"
"292"	"False"	""	"R-HSA-76009"	"IntermediateAnnotation"	"Platelet Aggregation (Plug Formation)"	"ReactomePathway"	"2"	"2"	"7"	"29"
"293"	"False"	""	"WP2263"	"LeafAnnotation"	"Androgen receptor network in prostate cancer"	"WikiPathway"	"1"	"1"	"31"	"3"
"294"	"False"	""	"WP496"	"LeafAnnotation"	"Steroid biosynthesis"	"WikiPathway"	"1"	"1"	"3"	"33"
"295"	"False"	""	"R-HSA-5083635"	"LeafAnnotation"	"Defective B3GALTL causes PpS"	"ReactomePathway"	"1"	"1"	"8"	"12"
"296"	"False"	""	"R-HSA-5173214"	"LeafAnnotation"	"O-glycosylation of TSR domain-containing proteins"	"ReactomePathway"	"1"	"1"	"8"	"12"
"297"	"False"	""	"WP4656"	"LeafAnnotation"	"Joubert syndrome"	"WikiPathway"	"1"	"1"	"42"	"2"
"298"	"False"	""	"R-HSA-9013420"	"IntermediateAnnotation"	"RHOU GTPase cycle"	"ReactomePathway"	"1"	"1"	"23"	"4"
"299"	"False"	""	"R-HSA-9013418"	"IntermediateAnnotation"	"RHOBTB2 GTPase cycle"	"ReactomePathway"	"1"	"1"	"7"	"14"
"300"	"False"	""	"R-HSA-9013422"	"IntermediateAnnotation"	"RHOBTB1 GTPase cycle"	"ReactomePathway"	"1"	"1"	"6"	"17"
"301"	"False"	""	"R-HSA-399719"	"IntermediateAnnotation"	"Trafficking of AMPA receptors"	"ReactomePathway"	"1"	"1"	"13"	"8"
"302"	"False"	""	"R-HSA-190873"	"IntermediateAnnotation"	"Gap junction degradation"	"ReactomePathway"	"1"	"1"	"12"	"8"
"303"	"False"	""	"R-HSA-6806942"	"LeafAnnotation"	"MET Receptor Activation"	"ReactomePathway"	"1"	"1"	"5"	"20"
"304"	"False"	""	"WP2291"	"LeafAnnotation"	"Deregulation of Rab and Rab effector genes in bladder cancer"	"WikiPathway"	"1"	"1"	"10"	"10"
"305"	"False"	""	"R-HSA-9824585"	"IntermediateAnnotation"	"Regulation of MITF-M-dependent genes involved in pigmentation"	"ReactomePathway"	"1"	"1"	"13"	"8"
"306"	"False"	""	"WP2571"	"LeafAnnotation"	"Polycystic kidney disease pathway"	"WikiPathway"	"1"	"1"	"14"	"7"
"307"	"False"	""	"WP3670"	"LeafAnnotation"	"Interactions between LOXL4 and oxidative stress pathway"	"WikiPathway"	"2"	"2"	"10"	"20"
"308"	"False"	""	"WP3958"	"LeafAnnotation"	"GPR40 pathway"	"WikiPathway"	"1"	"1"	"10"	"10"
"309"	"False"	""	"WP4803"	"LeafAnnotation"	"Ciliopathies"	"WikiPathway"	"1"	"1"	"68"	"1"
"310"	"False"	""	"WP5234"	"LeafAnnotation"	"Bardet-Biedl syndrome"	"WikiPathway"	"1"	"1"	"34"	"3"
"311"	"False"	""	"R-HSA-5620916"	"LeafAnnotation"	"VxPx cargo-targeting to cilium"	"ReactomePathway"	"1"	"1"	"18"	"6"
"312"	"False"	""	"R-HSA-75892"	"LeafAnnotation"	"Platelet Adhesion to exposed collagen"	"ReactomePathway"	"1"	"1"	"14"	"7"
"313"	"False"	""	"R-HSA-9672393"	"LeafAnnotation"	"Defective F8 binding to von Willebrand factor"	"ReactomePathway"	"1"	"1"	"2"	"50"
"314"	"False"	""	"R-HSA-430116"	"LeafAnnotation"	"GP1b-IX-V activation signalling"	"ReactomePathway"	"1"	"1"	"9"	"11"
"315"	"False"	""	"R-HSA-9845619"	"IntermediateAnnotation"	"Enhanced cleavage of VWF variant by ADAMTS13"	"ReactomePathway"	"1"	"1"	"2"	"50"
"316"	"False"	""	"R-HSA-9845620"	"IntermediateAnnotation"	"Enhanced binding of GP1BA variant to VWF multimer:collagen"	"ReactomePathway"	"1"	"1"	"5"	"20"
"317"	"False"	""	"R-HSA-9845621"	"IntermediateAnnotation"	"Defective VWF cleavage by ADAMTS13 variant"	"ReactomePathway"	"1"	"1"	"2"	"50"
"318"	"False"	""	"R-HSA-9845622"	"IntermediateAnnotation"	"Defective VWF binding to collagen type I"	"ReactomePathway"	"1"	"1"	"1"	"100"
"319"	"False"	""	"R-HSA-9846298"	"IntermediateAnnotation"	"Defective binding of VWF variant to GPIb:IX:V"	"ReactomePathway"	"1"	"1"	"5"	"20"
"320"	"False"	""	"WP5036"	"LeafAnnotation"	"Angiotensin II receptor type 1 pathway"	"WikiPathway"	"1"	"1"	"15"	"7"
"321"	"False"	""	"WP5380"	"LeafAnnotation"	"5q35 copy number variation"	"WikiPathway"	"1"	"1"	"48"	"2"
"322"	"False"	""	"WP3601"	"LeafAnnotation"	"Lipid particles composition"	"WikiPathway"	"1"	"1"	"4"	"25"
"323"	"False"	""	"WP4522"	"LeafAnnotation"	"Metabolic pathway of LDL, HDL and TG, including diseases"	"WikiPathway"	"1"	"1"	"6"	"17"
"324"	"False"	""	"WP1531"	"LeafAnnotation"	"Vitamin D metabolism"	"WikiPathway"	"1"	"1"	"1"	"100"
"325"	"False"	""	"R-HSA-196791"	"LeafAnnotation"	"Vitamin D (calciferol) metabolism"	"ReactomePathway"	"1"	"1"	"4"	"25"
"326"	"False"	""	"WP554"	"LeafAnnotation"	"ACE inhibitor pathway"	"WikiPathway"	"2"	"2"	"15"	"13"
"327"	"False"	""	"WP2814"	"LeafAnnotation"	"Mammary gland development pathway - Puberty (Stage 2 of 4)"	"WikiPathway"	"1"	"1"	"8"	"12"
"328"	"False"	""	"WP2911"	"LeafAnnotation"	"miRNA targets in ECM and membrane receptors"	"WikiPathway"	"1"	"1"	"10"	"10"
"329"	"False"	""	"WP3287"	"LeafAnnotation"	"Overview of nanoparticle effects"	"WikiPathway"	"1"	"1"	"9"	"11"
"330"	"False"	""	"WP3303"	"LeafAnnotation"	"RAC1/PAK1/p38/MMP2 pathway"	"WikiPathway"	"1"	"1"	"38"	"3"
"331"	"False"	""	"WP366"	"LeafAnnotation"	"TGF-beta signaling pathway"	"WikiPathway"	"1"	"1"	"55"	"2"
"332"	"False"	""	"WP3680"	"LeafAnnotation"	"Physico-chemical features and toxicity-associated pathways"	"WikiPathway"	"1"	"1"	"41"	"2"
"333"	"False"	""	"WP3859"	"LeafAnnotation"	"TGF-beta signaling in thyroid cells for epithelial-mesenchymal transition"	"WikiPathway"	"1"	"1"	"8"	"12"
"334"	"False"	""	"WP3967"	"LeafAnnotation"	"miR-509-3p alteration of YAP1/ECM axis"	"WikiPathway"	"1"	"1"	"4"	"25"
"335"	"False"	""	"WP4658"	"LeafAnnotation"	"Small cell lung cancer"	"WikiPathway"	"1"	"1"	"37"	"3"
"336"	"False"	""	"WP5055"	"LeafAnnotation"	"Burn wound healing"	"WikiPathway"	"1"	"1"	"21"	"5"
"337"	"False"	""	"WP5097"	"LeafAnnotation"	"CCL18 signaling"	"WikiPathway"	"1"	"1"	"56"	"2"
"338"	"False"	""	"WP5158"	"LeafAnnotation"	"Urotensin-II-mediated signaling"	"WikiPathway"	"1"	"1"	"26"	"4"
"339"	"False"	""	"WP5300"	"LeafAnnotation"	"TROP2 regulatory signaling"	"WikiPathway"	"1"	"1"	"35"	"3"
"340"	"False"	""	"R-HSA-9700645"	"IntermediateAnnotation"	"ALK mutants bind TKIs"	"ReactomePathway"	"1"	"1"	"4"	"25"
"341"	"False"	""	"R-HSA-9725370"	"IntermediateAnnotation"	"Signaling by ALK fusions and activated point mutants"	"ReactomePathway"	"1"	"1"	"31"	"3"
"342"	"False"	""	"R-HSA-3000171"	"IntermediateAnnotation"	"Non-integrin membrane-ECM interactions"	"ReactomePathway"	"2"	"2"	"15"	"13"
"343"	"False"	""	"R-HSA-9860927"	"IntermediateAnnotation"	"Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells"	"ReactomePathway"	"1"	"1"	"19"	"5"
"344"	"False"	""	"R-HSA-8874081"	"LeafAnnotation"	"MET activates PTK2 signaling"	"ReactomePathway"	"1"	"1"	"11"	"9"
"345"	"False"	""	"R-HSA-1474244"	"RootAnnotation"	"Extracellular matrix organization"	"ReactomePathway"	"1"	"1"	"1"	"100"
"346"	"False"	""	"R-HSA-1566977"	"LeafAnnotation"	"Fibronectin matrix formation"	"ReactomePathway"	"1"	"1"	"6"	"17"
"347"	"False"	""	"WP229"	"LeafAnnotation"	"Irinotecan pathway"	"WikiPathway"	"1"	"1"	"6"	"17"
"348"	"False"	""	"WP2645"	"LeafAnnotation"	"Heroin metabolism"	"WikiPathway"	"1"	"1"	"1"	"100"
"349"	"False"	""	"WP2826"	"LeafAnnotation"	"Cocaine metabolism"	"WikiPathway"	"1"	"1"	"1"	"100"
"350"	"False"	""	"R-HSA-112311"	"IntermediateAnnotation"	"Neurotransmitter clearance"	"ReactomePathway"	"1"	"1"	"4"	"25"
"351"	"False"	""	"R-HSA-422085"	"LeafAnnotation"	"Synthesis, secretion, and deacylation of Ghrelin"	"ReactomePathway"	"1"	"1"	"9"	"11"
"352"	"False"	""	"R-HSA-1483191"	"LeafAnnotation"	"Synthesis of PC"	"ReactomePathway"	"1"	"1"	"11"	"9"
"353"	"False"	""	"WP1528"	"LeafAnnotation"	"Physiological and pathological hypertrophy of the heart"	"WikiPathway"	"1"	"1"	"13"	"8"
"354"	"False"	""	"WP1544"	"LeafAnnotation"	"MicroRNAs in cardiomyocyte hypertrophy"	"WikiPathway"	"1"	"1"	"53"	"2"
"355"	"False"	""	"WP236"	"LeafAnnotation"	"Adipogenesis"	"WikiPathway"	"2"	"2"	"41"	"5"
"356"	"False"	""	"WP364"	"LeafAnnotation"	"IL6 signaling"	"WikiPathway"	"1"	"1"	"30"	"3"
"357"	"False"	""	"WP4756"	"LeafAnnotation"	"Renin-angiotensin-aldosterone system (RAAS)"	"WikiPathway"	"1"	"1"	"6"	"17"
"358"	"False"	""	"WP4883"	"LeafAnnotation"	"SARS-CoV-2 and ACE2 receptor: molecular mechanisms"	"WikiPathway"	"1"	"1"	"7"	"14"
"359"	"False"	""	"WP4891"	"LeafAnnotation"	"COVID-19 adverse outcome pathway"	"WikiPathway"	"1"	"1"	"10"	"10"
"360"	"False"	""	"WP727"	"LeafAnnotation"	"Monoamine transport"	"WikiPathway"	"1"	"1"	"22"	"5"
"361"	"False"	""	"R-HSA-1989781"	"LeafAnnotation"	"PPARA activates gene expression"	"ReactomePathway"	"4"	"4"	"21"	"19"
"362"	"False"	""	"R-HSA-2022377"	"LeafAnnotation"	"Metabolism of Angiotensinogen to Angiotensins"	"ReactomePathway"	"1"	"1"	"12"	"8"
"363"	"False"	""	"WP4352"	"LeafAnnotation"	"Ciliary landscape"	"WikiPathway"	"1"	"1"	"65"	"2"
"364"	"False"	""	"WP2272"	"LeafAnnotation"	"Pathogenic Escherichia coli infection"	"WikiPathway"	"1"	"1"	"43"	"2"
"365"	"False"	""	"WP382"	"LeafAnnotation"	"MAPK signaling"	"WikiPathway"	"1"	"1"	"134"	"1"
"366"	"False"	""	"WP4146"	"LeafAnnotation"	"Macrophage markers"	"WikiPathway"	"1"	"1"	"8"	"12"
"367"	"False"	""	"WP4478"	"LeafAnnotation"	"LTF danger signal response pathway"	"WikiPathway"	"1"	"1"	"14"	"7"
"368"	"False"	""	"WP75"	"LeafAnnotation"	"Toll-like receptor signaling"	"WikiPathway"	"1"	"1"	"49"	"2"
"369"	"False"	""	"R-HSA-140534"	"IntermediateAnnotation"	"Caspase activation via Death Receptors in the presence of ligand"	"ReactomePathway"	"1"	"1"	"13"	"8"
